stage,auc_mean,auc_std,precision_mean,recall_mean,n_features_used
Rainfall only,0.9916617686175471,0.0021501986773587835,0.471842038259452,0.9975130390993419,4
+ Soil moisture,0.9999363196233022,1.9103056893679055e-05,0.9279369080882169,0.9974629311533851,7
+ Catchment static,0.9999298033841921,2.3665874356339746e-05,0.9281114528035752,0.9975080273055443,11
+ Climate macro,0.999921869577383,1.3880652118813817e-05,0.9300743769281539,0.9951705569656649,19
+ v2 GEE features,0.9999298030235595,2.267524909249173e-05,0.9299617401351725,0.9962332900758083,25
